Year,Distance,Fuel,Seller_Type,isManual,Owner,Engine,Power,Seats,Price
2019,46301,1,3,1,1,1956.0,169.0,5.0,1611000
2017,34867,4,3,0,2,1199.0,84.0,5.0,475000
2015,43634,1,3,1,1,2494.0,101.0,7.0,865000
2018,9512,1,1,0,1,1995.0,190.0,5.0,3800000
2020,11293,1,3,0,1,1956.0,171.0,5.0,2475000
2014,78000,1,3,1,2,2179.0,120.0,8.0,400000
2016,50374,4,3,1,1,1198.0,87.0,5.0,440000
2017,15900,4,3,0,1,1998.0,181.0,5.0,2800000
2017,64000,4,3,1,1,1497.0,117.0,5.0,645000
2013,78000,1,3,1,1,1199.0,74.0,5.0,365000
2021,24000,4,3,1,1,1462.0,103.0,5.0,1044999
2019,40310,4,3,1,2,1196.0,73.0,7.0,515000
2015,69700,4,3,0,1,1197.0,79.0,5.0,455000
2012,74073,1,3,0,1,1995.0,184.0,5.0,1800000
2019,73000,1,3,0,1,2755.0,174.0,7.0,3499000
2006,130000,4,3,1,3,1799.0,130.0,5.0,190000
2021,24000,4,3,0,1,1197.0,89.0,5.0,775000
2021,43000,1,3,1,1,1493.0,99.0,5.0,825000
2016,40500,1,3,0,1,1968.0,141.0,5.0,2250000
2017,49013,4,3,0,1,1497.0,117.0,5.0,865000
2013,64983,1,3,1,1,1399.0,68.0,5.0,299000
2017,92270,4,3,1,1,1199.0,89.0,5.0,570000
2013,65000,4,3,1,1,1198.0,74.0,5.0,385000
2014,110000,1,3,1,1,1498.0,99.0,5.0,350000
2017,47000,4,3,0,1,2494.0,179.0,5.0,2345000
2022,10000,4,3,0,1,1997.0,150.0,4.0,1650000
2011,51500,1,3,0,2,2143.0,207.0,5.0,1100000
2018,35000,1,3,0,1,1968.0,184.0,5.0,2900000
2017,61518,4,3,1,1,1197.0,83.0,5.0,545000
2018,34000,1,1,0,1,1995.0,184.0,5.0,2990000
2017,36058,4,3,1,1,1197.0,83.0,5.0,615000
2016,88000,1,3,0,1,1582.0,126.0,5.0,890000
2015,98112,4,3,1,1,1598.0,103.0,5.0,430000
2013,58000,1,3,0,1,2143.0,170.0,5.0,1650000
2015,92355,4,3,0,1,2494.0,202.0,5.0,1599000
2019,16652,4,3,1,1,1197.0,89.0,5.0,691000
2016,76584,1,3,1,1,1461.0,108.0,5.0,650000
2015,42500,0,3,1,1,998.0,58.0,5.0,415000
2016,70000,1,3,1,1,1248.0,89.0,5.0,669000
2015,84700,1,3,0,2,2993.0,258.0,5.0,2950000
2022,2766,4,3,0,1,2995.0,335.0,4.0,16200000
2017,56000,4,3,0,2,1991.0,241.0,4.0,5100000
2015,68766,4,3,1,1,1197.0,82.0,5.0,525000
2018,16339,4,3,1,1,1591.0,121.0,5.0,750000
2016,63882,4,3,1,1,1198.0,87.0,5.0,445000
2012,28732,4,3,1,1,1798.0,138.0,5.0,493000
2017,51349,4,3,1,1,1197.0,82.0,5.0,611000
2014,61866,4,3,0,1,1197.0,79.0,5.0,475000
2017,29401,4,3,1,1,1591.0,122.0,5.0,925000
2012,98580,1,3,0,1,1968.0,177.0,5.0,1325000
2021,8000,1,3,0,1,1995.0,184.0,5.0,3900000
2020,31348,1,3,1,1,1497.0,115.0,5.0,1299000
2018,28851,1,1,1,1,1248.0,74.0,5.0,580000
2021,8519,4,3,1,1,1997.0,150.0,4.0,1575000
2011,78000,4,3,1,1,1497.0,118.0,5.0,375000
2015,48000,1,3,0,1,2143.0,204.0,5.0,2250000
2014,143000,1,3,0,2,2982.0,169.0,7.0,1400000
2017,39000,1,0,1,1,1248.0,74.0,5.0,425000
2014,24000,4,3,0,2,1598.0,104.0,5.0,425000
2015,62000,4,3,1,2,796.0,47.0,5.0,250000
2012,78000,1,3,1,2,1248.0,89.0,7.0,425000
2009,48500,3,3,1,4,1086.0,63.0,5.0,120000
2014,82000,1,3,1,2,1399.0,68.0,5.0,235000
2020,40910,1,3,0,1,1968.0,141.0,5.0,3050000
2020,10290,1,3,1,1,1956.0,168.0,5.0,2145000
2021,10530,4,3,0,1,998.0,118.0,5.0,1245000
2015,61900,4,3,1,1,1197.0,82.0,5.0,549000
2013,78000,1,3,1,2,1199.0,74.0,5.0,484999
2014,57402,4,3,1,1,1197.0,85.0,5.0,415000
2013,57000,0,3,1,1,1086.0,62.0,5.0,200000
2015,87500,4,3,1,1,1197.0,81.0,5.0,375000
2022,18000,4,3,0,1,1353.0,138.0,5.0,1875000
2020,10700,4,3,0,1,1984.0,188.0,5.0,2950000
2018,78000,1,3,0,1,2967.0,245.0,7.0,4900000
2020,16282,4,3,0,1,998.0,118.0,5.0,1050000
2013,66000,1,3,1,3,1582.0,126.0,5.0,470000
2017,72019,4,3,1,2,998.0,67.0,5.0,345000
2013,195000,1,3,0,1,1995.0,184.0,5.0,1490000
2007,92170,1,3,1,2,2609.0,116.0,7.0,550000
2018,55221,4,3,1,1,1197.0,81.0,5.0,484999
2018,25000,1,3,0,1,2755.0,174.0,7.0,3350000
2022,1,4,3,0,0,1984.0,248.0,5.0,5651000
2020,23500,4,3,1,1,1498.0,105.0,5.0,890000
2012,68000,4,3,1,2,1197.0,85.0,5.0,325000
2019,29096,4,3,0,1,1591.0,122.0,5.0,1390000
2016,61223,4,3,1,1,1197.0,81.0,5.0,459999
2017,86000,1,3,1,1,1956.0,171.0,5.0,1075000
2013,87000,1,3,1,1,1582.0,126.0,5.0,484999
2013,79287,4,3,1,1,1197.0,83.0,5.0,385000
2018,48945,1,1,0,1,1968.0,190.0,5.0,3900000
2019,17000,1,3,1,1,1497.0,121.0,8.0,1050000
2019,55000,1,3,1,1,1493.0,113.0,5.0,1575000
2016,38779,4,3,1,1,1197.0,83.0,5.0,655000
2019,72000,1,3,0,1,1950.0,192.0,5.0,4500000
2016,67000,1,3,1,1,1248.0,89.0,7.0,865000
2017,67000,4,3,1,1,1591.0,121.0,5.0,699000
2012,70000,1,3,1,2,1582.0,126.0,5.0,425000
2020,6000,1,3,0,1,1999.0,177.0,7.0,6500000
2017,46000,1,3,0,1,2755.0,174.0,7.0,2900000
2017,34000,1,3,0,1,2143.0,201.0,5.0,4550000
2015,23103,4,3,1,1,1197.0,81.0,5.0,490000
2016,27000,4,3,0,1,4663.0,453.0,4.0,11500000
2019,9576,4,3,0,1,1591.0,122.0,5.0,1475000
2020,27000,4,3,0,1,1451.0,141.0,5.0,1729000
2021,1942,4,3,0,1,1498.0,108.0,5.0,1764999
2006,119300,4,3,0,3,2354.0,152.0,5.0,250000
2016,55000,4,3,1,1,796.0,47.0,5.0,245000
2015,98000,1,3,1,2,1461.0,84.0,5.0,490000
2017,61400,4,3,1,1,1197.0,81.0,5.0,550000
2016,87693,4,3,1,1,1497.0,117.0,5.0,675000
2015,31000,4,3,0,1,1991.0,181.0,5.0,2225000
2016,75210,1,3,1,1,1396.0,89.0,5.0,560000
2012,69000,4,3,1,1,1598.0,105.0,5.0,225000
2014,88000,1,3,0,2,1498.0,103.0,5.0,499000
2020,15000,4,3,0,1,998.0,118.0,5.0,1055000
2020,45350,1,3,0,1,2179.0,153.0,7.0,2048999
2018,68189,1,3,0,1,1995.0,188.0,5.0,2775000
2015,75000,1,3,0,1,2143.0,134.0,5.0,1650000
2013,45000,4,3,1,1,998.0,68.0,5.0,350000
2014,33000,1,3,0,2,1968.0,177.0,5.0,1450000
2014,83000,1,3,1,2,2179.0,120.0,8.0,600000
2012,78000,1,3,0,1,1995.0,184.0,5.0,1250000
2014,211000,1,3,1,1,2982.0,169.0,7.0,1675000
2015,67000,4,3,1,1,1197.0,82.0,5.0,575000
2017,75000,1,3,1,1,1498.0,99.0,5.0,699000
2014,48600,1,3,0,2,2967.0,241.0,6.0,2450000
2016,48000,1,3,0,1,2143.0,204.0,5.0,2775000
2020,5790,4,3,1,1,998.0,67.0,5.0,430000
2018,32000,1,3,1,1,2179.0,120.0,7.0,1165000
2020,65433,1,3,1,1,1956.0,169.0,5.0,1780000
2011,87230,1,3,1,1,1248.0,75.0,5.0,295000
2017,38258,1,3,1,2,1248.0,74.0,5.0,495000
2019,56881,4,3,1,1,1497.0,117.0,5.0,975000
2013,76000,1,3,1,2,2494.0,102.0,7.0,645000
2014,72000,1,3,1,2,1461.0,108.0,5.0,425000
2012,72000,1,3,0,0,1968.0,174.0,5.0,1350000
2014,60514,1,3,0,1,2987.0,234.0,5.0,3200000
2013,71141,1,3,0,1,1984.0,150.0,5.0,1250000
2018,40937,1,3,0,1,2993.0,258.0,5.0,5600000
2013,37000,1,3,1,1,1248.0,74.0,5.0,560000
2019,46000,1,3,1,1,2179.0,120.0,7.0,1221000
2015,86999,1,3,0,1,2993.0,258.0,5.0,2975000
2009,70200,4,3,0,2,1497.0,118.0,5.0,295000
2012,64800,4,3,0,1,1796.0,186.0,5.0,1300000
2016,73000,1,3,0,1,1582.0,126.0,5.0,950000
2012,72000,1,3,0,2,2987.0,231.0,5.0,1350000
2015,76345,1,3,0,1,2997.0,254.0,5.0,2682000
2017,40564,4,3,1,1,796.0,47.0,5.0,286000
2013,98500,1,3,1,1,1336.0,89.0,5.0,340000
2020,46807,4,3,0,1,999.0,109.0,5.0,1125000
2018,81000,4,3,0,1,1198.0,108.0,5.0,580000
2015,13716,4,3,1,1,1197.0,85.0,5.0,495000
2014,89000,1,3,1,1,1248.0,74.0,5.0,550000
2021,13000,1,3,0,1,1493.0,113.0,5.0,1485000
2018,38000,4,3,1,1,1598.0,104.0,5.0,885000
2012,25500,4,1,0,2,4163.0,444.0,5.0,3650000
2020,17000,4,3,0,1,1197.0,82.0,5.0,715000
2012,44724,4,3,0,1,3496.0,272.0,7.0,2485000
2020,24549,1,3,1,2,2393.0,148.0,7.0,2250000
2017,97000,1,1,0,1,1582.0,126.0,5.0,1050000
2018,7800,1,3,0,1,2755.0,174.0,7.0,3600000
2010,78000,4,1,1,1,1497.0,118.0,5.0,295000
2019,55000,4,3,1,1,799.0,53.0,5.0,375000
2021,20000,4,3,0,0,1984.0,180.0,5.0,7200000
2021,13594,1,3,0,1,1956.0,168.0,6.0,2395000
2014,75000,1,3,0,1,1968.0,177.0,5.0,1775000
2011,65000,1,3,1,1,1248.0,75.0,5.0,275000
2014,43037,4,3,1,1,1198.0,87.0,5.0,325000
2013,26000,1,3,1,1,1248.0,74.0,5.0,425000
2020,78000,1,3,1,1,2179.0,140.0,7.0,1475000
2018,115000,1,3,0,1,2755.0,172.0,7.0,1580000
2021,8700,4,3,0,1,1199.0,89.0,5.0,869000
2019,31000,1,1,0,1,2143.0,201.0,5.0,5850000
2020,41736,1,3,0,1,1956.0,171.0,5.0,1900000
2017,40000,1,3,0,2,2979.0,275.0,5.0,9000000
2020,55000,1,1,0,1,2755.0,174.0,7.0,3550000
2014,160000,4,3,0,1,4806.0,500.0,5.0,3500000
2022,11000,1,3,0,1,2393.0,148.0,7.0,2425000
2018,24690,1,3,0,1,2993.0,258.0,7.0,5811000
2011,117000,1,3,1,2,2982.0,171.0,7.0,750000
2014,95000,1,3,0,1,2967.0,241.0,7.0,2200000
2019,76000,0,3,1,1,998.0,58.0,5.0,520000
2018,18000,4,3,1,1,998.0,67.0,5.0,390000
2015,38000,4,3,1,1,1373.0,91.0,5.0,540000
2018,43000,1,3,0,1,1248.0,74.0,5.0,699000
2013,107000,1,3,1,1,1582.0,126.0,5.0,484999
2021,13000,4,3,0,1,2996.0,362.0,4.0,7500000
2011,85000,1,3,0,2,2143.0,203.0,5.0,850000
2018,8922,4,3,0,1,1198.0,108.0,5.0,1085000
2013,47800,4,3,1,1,796.0,47.0,5.0,319000
2012,143000,1,3,1,1,2179.0,140.0,7.0,549000
2019,68758,1,3,1,1,1956.0,138.0,5.0,1725000
2015,72000,1,3,1,2,1498.0,99.0,7.0,475000
2022,7500,4,3,1,1,1199.0,84.0,5.0,890000
2012,37000,4,3,1,2,998.0,68.0,5.0,235000
2016,22402,4,3,1,1,1197.0,81.0,5.0,445000
2019,12382,4,1,1,1,1497.0,117.0,5.0,1060000
2017,61000,1,3,1,1,1248.0,74.0,5.0,690000
2018,90868,1,3,0,1,1999.0,177.0,5.0,4200000
2015,84700,1,3,0,2,2993.0,258.0,5.0,2950000
2022,22010,4,3,0,1,1997.0,296.0,5.0,12500000
2015,72000,1,3,0,2,2982.0,169.0,7.0,1750000
2018,75500,4,3,1,1,999.0,67.0,5.0,395000
2018,25000,1,3,0,1,1995.0,188.0,5.0,2790000
2018,38000,1,3,0,1,1968.0,184.0,5.0,2475000
2009,39586,4,3,1,1,1061.0,67.0,5.0,145000
2018,33647,4,3,0,1,1197.0,82.0,5.0,750000
2016,86000,1,3,1,1,2179.0,138.0,7.0,950000
2018,57847,4,3,1,1,1197.0,81.0,5.0,569000
2016,74000,4,3,1,1,1197.0,83.0,5.0,470000
2015,58000,1,3,0,1,2967.0,245.0,5.0,5350000
2014,85000,1,3,1,2,1461.0,84.0,5.0,450000
2016,26000,4,3,1,1,999.0,67.0,5.0,299000
2020,18000,4,3,0,1,1353.0,138.0,5.0,1875000
2022,11000,1,3,0,1,2184.0,130.0,4.0,1825000
2018,57300,1,3,0,1,2179.0,148.0,7.0,4459000
2010,74000,1,3,0,2,2497.0,177.0,5.0,1195000
2019,25000,4,3,0,1,1197.0,82.0,5.0,790000
2017,39000,4,3,0,2,1591.0,122.0,5.0,1095000
2020,45000,1,3,1,1,2393.0,148.0,7.0,1950000
2015,80852,4,3,0,2,1198.0,103.0,5.0,525000
2018,75592,1,3,0,1,2999.0,174.0,7.0,2100000
2014,54420,4,3,1,1,998.0,67.0,5.0,270000
2015,39780,4,3,0,1,1798.0,138.0,5.0,894999
2013,78301,4,3,0,2,1197.0,79.0,5.0,335000
2018,38000,1,3,1,1,2179.0,148.0,7.0,1000000
2009,126535,4,3,1,1,1197.0,80.0,5.0,220000
2016,37079,4,3,0,1,1591.0,122.0,5.0,960000
2018,87200,1,3,0,1,2987.0,255.0,7.0,7200000
2014,51000,1,3,0,2,1968.0,174.0,5.0,1300000
2013,39000,4,3,1,1,1198.0,74.0,5.0,375000
2017,29999,1,3,0,1,1999.0,177.0,5.0,3299000
2014,100472,1,3,1,1,1948.0,90.0,7.0,565000
2016,84700,1,3,0,1,1968.0,174.0,5.0,1798999
2008,19759,4,3,1,1,796.0,47.0,5.0,189000
2014,56000,4,3,1,1,1591.0,121.0,5.0,545000
2022,3383,4,3,1,1,998.0,118.0,5.0,1085000
2018,42000,1,3,1,1,1248.0,89.0,5.0,725000
2012,65000,1,3,0,2,1995.0,184.0,5.0,1090000
2019,17000,4,3,1,1,1199.0,89.0,5.0,900000
2016,38000,1,3,0,2,1995.0,188.0,5.0,3400000
2014,62500,1,3,1,1,1498.0,99.0,5.0,295000
2021,30229,1,3,0,1,1956.0,168.0,5.0,2251000
2019,9000,4,1,0,1,3436.0,325.0,4.0,9300000
2016,26600,0,3,1,1,998.0,58.0,5.0,430000
2017,86000,1,3,1,2,1248.0,89.0,5.0,600000
2017,86000,4,3,0,1,1999.0,153.0,5.0,1595000
2013,29135,4,3,1,1,1197.0,83.0,5.0,375000
2015,50965,1,1,0,1,1984.0,150.0,5.0,1200000
2014,72000,1,3,0,1,2982.0,169.0,7.0,1525000
2016,28000,4,3,0,1,1991.0,181.0,5.0,2675000
2015,42000,4,3,0,1,1199.0,89.0,5.0,545000
2017,11850,1,3,0,1,2925.0,282.0,5.0,7900000
2010,32000,4,3,1,1,1198.0,89.0,5.0,195000
2021,24000,1,3,0,1,1995.0,188.0,5.0,4550000
2015,50623,1,3,0,2,2179.0,188.0,5.0,2499000
2012,85000,1,3,1,4,2489.0,95.0,7.0,210000
2022,1700,1,3,1,1,1493.0,99.0,5.0,1097000
2020,43260,4,3,0,1,1197.0,103.0,5.0,1095000
2015,67738,0,3,1,2,998.0,58.0,5.0,325000
2019,69000,1,3,1,1,2179.0,140.0,7.0,1375000
2021,14722,4,3,1,1,1197.0,89.0,5.0,745000
2017,29000,1,3,1,1,2393.0,148.0,7.0,2175000
2017,60200,4,1,0,1,1368.0,160.0,5.0,1250000
2017,140000,1,3,1,1,1248.0,74.0,5.0,500000
2017,23798,4,3,1,1,1199.0,89.0,5.0,625000
2011,55000,4,3,1,1,1497.0,118.0,5.0,250000
2017,51000,4,3,0,1,1197.0,103.0,5.0,650000
2014,49000,4,3,1,2,1198.0,87.0,5.0,310000
2017,48000,4,3,1,1,1498.0,105.0,5.0,600000
2013,121000,1,3,0,1,1995.0,184.0,5.0,1400000
2013,74000,1,3,1,1,1498.0,89.0,5.0,295000
2012,102000,1,3,1,2,2179.0,140.0,7.0,484999
2018,32000,4,3,0,1,1998.0,248.0,5.0,4250000
2013,97000,1,3,1,1,2179.0,138.0,7.0,375000
2021,16000,4,3,0,1,1353.0,138.0,5.0,1625000
2016,55700,1,1,0,1,2967.0,241.0,5.0,5350000
2017,80000,1,3,0,1,2993.0,262.0,5.0,4250000
2014,115000,1,3,1,1,1498.0,89.0,5.0,480000
2020,74000,4,3,1,1,1197.0,82.0,5.0,590000
2015,61000,1,3,1,1,1396.0,89.0,5.0,561000
2014,104814,4,3,1,1,1798.0,138.0,5.0,725000
2013,17000,4,3,1,1,1797.0,147.0,5.0,645000
2015,60000,1,3,0,2,1968.0,174.0,5.0,1695000
2016,45000,4,3,1,1,1197.0,83.0,5.0,450000
2016,75811,1,3,1,1,2179.0,138.0,7.0,1375000
2021,3813,4,3,1,1,1997.0,150.0,4.0,1700000
2016,64928,4,3,1,1,1197.0,83.0,5.0,525000
2018,68500,1,3,1,1,1248.0,74.0,5.0,590000
2014,85000,1,3,0,1,2982.0,169.0,7.0,1495000
2017,41296,1,3,0,1,1995.0,190.0,5.0,3300000
2013,72567,1,3,1,1,1498.0,99.0,5.0,385000
2020,4295,4,3,1,1,998.0,67.0,5.0,535000
2018,82000,1,3,1,1,1248.0,89.0,5.0,875000
2010,33000,4,3,1,1,1298.0,87.0,5.0,295000
2011,54000,4,3,1,1,1368.0,90.0,5.0,235000
2018,68000,1,3,1,1,1582.0,126.0,5.0,969999
2022,8530,4,3,0,0,1498.0,119.0,5.0,1700000
2018,46000,4,3,0,1,1999.0,153.0,5.0,1789999
2020,26000,4,3,1,1,2694.0,164.0,7.0,1964999
2014,39394,4,3,0,2,1984.0,208.0,2.0,4000000
2018,35000,4,3,0,1,1199.0,84.0,5.0,484999
2019,17881,4,3,1,1,1197.0,83.0,5.0,580000
2014,48409,4,3,1,2,1497.0,117.0,5.0,450000
2020,40000,4,3,1,1,796.0,47.0,5.0,355000
2017,61643,1,3,0,1,1968.0,174.0,5.0,2375000
2020,21000,4,3,0,2,1991.0,241.0,4.0,6500000
2022,1500,4,3,1,1,1199.0,118.0,5.0,1050000
2014,38985,1,3,1,1,1498.0,99.0,5.0,445000
2015,52000,4,3,1,1,1199.0,89.0,5.0,495000
2011,42000,4,3,1,1,1197.0,79.0,5.0,275000
2014,29442,4,3,0,1,1198.0,87.0,5.0,465000
2017,71800,1,3,1,1,1956.0,171.0,5.0,1050000
2022,5000,4,3,0,1,1497.0,181.0,5.0,4900000
2020,18000,0,3,1,1,1197.0,68.0,5.0,695000
2018,37000,1,3,0,1,2755.0,174.0,7.0,3210000
2009,85000,4,3,1,2,1497.0,118.0,5.0,269000
2018,65555,1,3,1,2,1186.0,74.0,5.0,445000
2021,35000,1,3,0,1,1999.0,177.0,5.0,5950000
2018,87000,1,3,0,1,1995.0,190.0,5.0,3800000
2018,42000,4,3,0,1,1591.0,122.0,5.0,1000000
2018,68000,1,3,1,2,2179.0,140.0,7.0,1490000
2022,600,4,3,1,1,1498.0,108.0,5.0,1550000
2011,192326,1,3,1,3,2179.0,120.0,7.0,199000
2013,82000,4,3,1,0,1998.0,136.0,8.0,575000
2017,86006,1,3,1,1,1364.0,67.0,5.0,484999
2014,75000,1,3,1,1,1498.0,99.0,5.0,425000
2014,99000,1,3,1,1,2179.0,120.0,8.0,1150000
2021,21651,4,3,0,1,1798.0,177.0,5.0,3195000
2016,84000,1,3,1,1,1396.0,89.0,5.0,725000
2014,65000,1,3,0,2,2997.0,254.0,5.0,2450000
2017,31000,4,3,0,1,1373.0,91.0,5.0,741000
2022,17000,1,3,0,1,1950.0,192.0,5.0,7350000
2020,28000,1,3,1,1,2184.0,130.0,6.0,1550000
2015,64000,1,3,1,1,1498.0,99.0,5.0,645000
2014,85000,1,3,1,1,1498.0,99.0,5.0,550000
2017,35000,4,3,0,3,1197.0,83.0,5.0,595000
2015,44000,1,3,0,1,1984.0,150.0,5.0,1595000
2017,32000,4,3,0,2,998.0,67.0,5.0,500000
2016,49857,4,3,1,1,998.0,67.0,5.0,345000
2013,46000,4,3,1,1,998.0,67.0,5.0,299000
2008,50000,4,3,1,2,1061.0,67.0,5.0,160000
2017,36000,4,3,0,1,1197.0,83.0,5.0,570000
2021,13000,4,3,0,1,999.0,99.0,5.0,800000
2013,45000,4,3,1,1,998.0,68.0,5.0,315000
2011,87513,4,3,1,2,796.0,47.0,5.0,227000
2011,26000,4,3,0,1,3498.0,272.0,5.0,1850000
2022,3800,0,3,1,1,998.0,58.0,4.0,610000
2018,35123,1,3,1,1,2393.0,148.0,8.0,1995000
2021,21000,1,3,0,1,1493.0,114.0,5.0,1875000
2022,2670,4,3,0,1,1497.0,113.0,5.0,1748999
2016,124000,1,3,1,1,1598.0,105.0,5.0,640000
2016,9889,4,3,1,1,1197.0,82.0,5.0,779000
2021,13000,4,3,0,1,1497.0,118.0,5.0,1450000
2018,35000,4,3,0,1,1198.0,108.0,5.0,890000
2017,51145,4,3,1,1,1197.0,83.0,5.0,625000
2019,13000,1,3,0,1,2987.0,255.0,7.0,8500000
2011,56000,4,3,0,3,4163.0,444.0,5.0,2900000
2018,45000,1,3,0,1,2143.0,168.0,5.0,4550000
2017,82900,1,3,0,1,1968.0,174.0,5.0,2500000
2014,56843,0,3,1,2,796.0,47.0,5.0,249000
2015,64000,4,3,1,1,1196.0,70.0,5.0,270000
2019,9644,4,3,0,1,1197.0,82.0,5.0,825000
2017,41624,4,3,0,2,998.0,67.0,5.0,425000
2016,82844,1,3,1,1,1186.0,74.0,5.0,459999
2011,78000,4,3,0,2,2497.0,204.0,5.0,980000
2017,60444,4,3,1,1,1498.0,105.0,5.0,789000
2022,6000,4,3,0,1,1998.0,248.0,5.0,5100000
2014,125000,1,3,1,1,2179.0,120.0,8.0,775000
2019,13000,4,3,0,1,1591.0,122.0,5.0,1400000
2015,112000,1,3,1,1,1248.0,89.0,7.0,770000
2012,54948,1,3,1,1,1248.0,75.0,5.0,445000
2016,53300,4,3,1,1,1197.0,81.0,5.0,450000
2019,34000,4,3,1,1,1497.0,117.0,5.0,840000
2021,21000,4,3,0,1,3982.0,463.0,4.0,18500000
2017,25500,1,3,0,2,1999.0,177.0,5.0,4000000
2015,157662,1,3,1,2,1997.0,138.0,7.0,690000
2018,20000,1,3,0,1,2143.0,136.0,5.0,2800000
2018,78900,1,3,1,1,1120.0,71.0,5.0,525000
2011,52000,0,3,1,1,998.0,59.0,5.0,285000
2022,11000,1,3,0,1,1950.0,192.0,5.0,7780000
2017,95785,1,3,0,1,2179.0,154.0,7.0,1200000
2017,92000,1,3,1,1,1498.0,99.0,5.0,620000
2019,43000,1,3,0,1,1999.0,177.0,5.0,5200000
2017,39328,1,3,0,1,2143.0,134.0,5.0,1998999
2020,18625,1,3,0,1,2393.0,148.0,7.0,2725000
2019,26000,4,3,1,1,1197.0,83.0,5.0,590000
2014,81000,1,3,0,2,1995.0,112.0,5.0,1489000
2018,92000,1,3,0,1,1248.0,74.0,5.0,685000
2019,38000,1,3,1,1,2523.0,75.0,7.0,1121000
2012,93000,4,3,1,2,1368.0,90.0,5.0,114999
2019,10340,4,3,1,1,998.0,67.0,5.0,545000
2015,47706,1,3,0,1,1968.0,174.0,5.0,1350000
2021,13400,4,3,1,1,1462.0,103.0,6.0,1299000
2016,44613,1,3,1,1,1498.0,99.0,5.0,450000
2017,7000,4,3,0,1,1988.0,295.0,2.0,9000000
2019,29000,4,3,1,1,1197.0,83.0,5.0,550000
2020,23000,1,1,0,1,1995.0,188.0,5.0,4390000
2015,67580,0,3,1,1,998.0,58.0,5.0,445000
2015,42000,4,3,1,1,1591.0,121.0,5.0,495000
2015,16205,4,3,1,1,998.0,68.0,5.0,360000
2007,92000,4,3,0,3,1995.0,120.0,5.0,345000
2016,29000,4,3,0,1,1197.0,79.0,5.0,565000
2022,14000,1,3,0,1,1950.0,241.0,5.0,9390000
2017,69000,1,3,0,1,1493.0,100.0,7.0,615000
2015,114635,1,3,1,1,1498.0,99.0,5.0,525000
