Year,Distance,Fuel,Seller_Type,Transmission,Owner,Engine,Power,Seats,Price
2006,119300,Petrol,Individual,Automatic,Third,2354 cc,152@6000,5,250000
2016,55000,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,245000
2015,98000,Diesel,Individual,Manual,Second,1461 cc,84 bhp @ 3750 rpm,5,490000
2017,61400,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,550000
2016,87693,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,675000
2015,31000,Petrol,Individual,Automatic,First,1991 cc,181 bhp @ 5500 rpm,5,2225000
2016,75210,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,560000
2012,69000,Petrol,Individual,Manual,First,1598 cc,105 bhp @ 5250 rpm,5,225000
2014,88000,Diesel,Individual,Automatic,Second,1498 cc,103 bhp @ 4400 rpm,5,499000
2020,15000,Petrol,Individual,Automatic,First,998 cc,118 bhp @ 6000 rpm,5,1055000
2020,45350,Diesel,Individual,Automatic,First,2179 cc,153 bhp @ 3750 rpm,7,2048999
2018,68189,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,2775000
2015,75000,Diesel,Individual,Automatic,First,2143 cc,134 bhp @ 3600 rpm,5,1650000
2013,45000,Petrol,Individual,Manual,First,998 cc,68@6200,5,350000
2014,33000,Diesel,Individual,Automatic,Second,1968 cc,177 bhp @ 3750 rpm,5,1450000
2014,83000,Diesel,Individual,Manual,Second,2179 cc,120 bhp @ 4000 rpm,8,600000
2012,78000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,1250000
2014,211000,Diesel,Individual,Manual,First,2982 cc,169 bhp @ 3600 rpm,7,1675000
2015,67000,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,575000
2017,75000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3750 rpm,5,699000
2014,48600,Diesel,Individual,Automatic,Second,2967 cc,241 bhp @ 3800 rpm,6,2450000
2016,48000,Diesel,Individual,Automatic,First,2143 cc,204 bhp @ 3800 rpm,5,2775000
2020,5790,Petrol,Individual,Manual,First,998 cc,67 bhp @ 5500 rpm,5,430000
2018,32000,Diesel,Individual,Manual,First,2179 cc,120 bhp @ 4000 rpm,7,1165000
2020,65433,Diesel,Individual,Manual,First,1956 cc,169 bhp @ 3750 rpm,5,1780000
2011,87230,Diesel,Individual,Manual,First,1248 cc,75@4000,5,295000
2017,38258,Diesel,Individual,Manual,Second,1248 cc,74 bhp @ 4000 rpm,5,495000
2019,56881,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,975000
2013,76000,Diesel,Individual,Manual,Second,2494 cc,102@5600,7,645000
2014,72000,Diesel,Individual,Manual,Second,1461 cc,108 bhp @ 3900 rpm,5,425000
2012,72000,Diesel,Individual,Automatic,UnRegistered Car,1968 cc,174 bhp @ 4200 rpm,5,1350000
2014,60514,Diesel,Individual,Automatic,First,2987 cc,234@3800,5,3200000
2013,71141,Diesel,Individual,Automatic,First,1984 cc,150 bhp @ 3500 rpm,5,1250000
2018,40937,Diesel,Individual,Automatic,First,2993 cc,258 bhp @ 4000 rpm,5,5600000
2013,37000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,560000
2019,46000,Diesel,Individual,Manual,First,2179 cc,120 bhp @ 4000 rpm,7,1221000
2015,86999,Diesel,Individual,Automatic,First,2993 cc,258 bhp @ 4000 rpm,5,2975000
2009,70200,Petrol,Individual,Automatic,Second,1497 cc,118@6600,5,295000
2012,64800,Petrol,Individual,Automatic,First,1796 cc,186 bhp @ 5600 rpm,5,1300000
2016,73000,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,950000
2012,72000,Diesel,Individual,Automatic,Second,2987 cc,231@3800,5,1350000
2015,76345,Diesel,Individual,Automatic,First,2997 cc,254 bhp @ 3600 rpm,5,2682000
2017,40564,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,286000
2013,98500,Diesel,Individual,Manual,First,1336 cc,89 bhp @ 4000 rpm,5,340000
2020,46807,Petrol,Individual,Automatic,First,999 cc,109 bhp @ 5000 rpm,5,1125000
2018,81000,Petrol,Individual,Automatic,First,1198 cc,108 bhp @ 5000 rpm,5,580000
2015,13716,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,495000
2014,89000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,550000
2021,13000,Diesel,Individual,Automatic,First,1493 cc,113 bhp @ 4000 rpm,5,1485000
2018,38000,Petrol,Individual,Manual,First,1598 cc,104 bhp @ 5200 rpm,5,885000
2012,25500,Petrol,Corporate,Automatic,Second,4163 cc,444 bhp @ 8250 rpm,5,3650000
2020,17000,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,715000
2012,44724,Petrol,Individual,Automatic,First,3496 cc,272 bhp @ 6000 rpm,7,2485000
2020,24549,Diesel,Individual,Manual,Second,2393 cc,148 bhp @ 3400 rpm,7,2250000
2017,97000,Diesel,Corporate,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,1050000
2018,7800,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,3600000
2010,78000,Petrol,Corporate,Manual,First,1497 cc,118@6600,5,295000
2019,55000,Petrol,Individual,Manual,First,799 cc,53 bhp @ 5678 rpm,5,375000
2021,20000,Petrol,Individual,Automatic,UnRegistered Car,1984 cc,180 bhp @ 4000 rpm,5,7200000
2021,13594,Diesel,Individual,Automatic,First,1956 cc,168 bhp @ 3750 rpm,6,2395000
2014,75000,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 3750 rpm,5,1775000
2011,65000,Diesel,Individual,Manual,First,1248 cc,75@4000,5,275000
2014,43037,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,325000
2013,26000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,425000
2020,78000,Diesel,Individual,Manual,First,2179 cc,140 bhp @ 3750 rpm,7,1475000
2018,115000,Diesel,Individual,Automatic,First,2755 cc,172 bhp @ 3400 rpm,7,1580000
2021,8700,Petrol,Individual,Automatic,First,1199 cc,89 bhp @ 6000 rpm,5,869000
2019,31000,Diesel,Corporate,Automatic,First,2143 cc,201 bhp @ 3800 rpm,5,5850000
2020,41736,Diesel,Individual,Automatic,First,1956 cc,171 bhp @ 3750 rpm,5,1900000
2017,40000,Diesel,Individual,Automatic,Second,2979 cc,275 bhp @ 4000 rpm,5,9000000
2020,55000,Diesel,Corporate,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,3550000
2014,160000,Petrol,Individual,Automatic,First,4806 cc,500 bhp @ 6500 rpm,5,3500000
2022,11000,Diesel,Individual,Automatic,First,2393 cc,148 bhp @ 3400 rpm,7,2425000
2018,24690,Diesel,Individual,Automatic,First,2993 cc,258 bhp @ 4000 rpm,7,5811000
2011,117000,Diesel,Individual,Manual,Second,2982 cc,171@3600,7,750000
2014,95000,Diesel,Individual,Automatic,First,2967 cc,241 bhp @ 3800 rpm,7,2200000
2019,76000,CNG,Individual,Manual,First,998 cc,58 bhp @ 5500 rpm,5,520000
2018,18000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,390000
2015,38000,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,540000
2018,43000,Diesel,Individual,Automatic,First,1248 cc,74 bhp @ 4000 rpm,5,699000
2013,107000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,484999
2021,13000,Petrol,Individual,Automatic,First,2996 cc,362 bhp @ 5500 rpm,4,7500000
2011,85000,Diesel,Individual,Automatic,Second,2143 cc,203 bhp @ 4200 rpm,5,850000
2018,8922,Petrol,Individual,Automatic,First,1198 cc,108 bhp @ 5000 rpm,5,1085000
2013,47800,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,319000
2012,143000,Diesel,Individual,Manual,First,2179 cc,140 bhp @ 3750 rpm,7,549000
2019,68758,Diesel,Individual,Manual,First,1956 cc,138 bhp @ 3750 rpm,5,1725000
2015,72000,Diesel,Individual,Manual,Second,1498 cc,99 bhp @ 3600 rpm,7,475000
2022,7500,Petrol,Individual,Manual,First,1199 cc,84 bhp @ 6000 rpm,5,890000
2012,37000,Petrol,Individual,Manual,Second,998 cc,68@6200,5,235000
2016,22402,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,445000
2019,12382,Petrol,Corporate,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,1060000
2017,61000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,690000
2018,90868,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,5,4200000
2015,84700,Diesel,Individual,Automatic,Second,2993 cc,258 bhp @ 4000 rpm,5,2950000
2022,22010,Petrol,Individual,Automatic,First,1997 cc,296 bhp @ 5500 rpm,5,12500000
2015,72000,Diesel,Individual,Automatic,Second,2982 cc,169 bhp @ 3600 rpm,7,1750000
2018,75500,Petrol,Individual,Manual,First,999 cc,67 bhp @ 5500 rpm,5,395000
2018,25000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,2790000
2018,38000,Diesel,Individual,Automatic,First,1968 cc,184 bhp @ 3500 rpm,5,2475000
2009,39586,Petrol,Individual,Manual,First,1061 cc,67@6200,5,145000
2018,33647,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,750000
2012,75576,Diesel,Individual,Automatic,Second,,,,800000
2016,86000,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 3750 rpm,7,950000
2018,57847,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,569000
2016,74000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,470000
2015,58000,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 4400 rpm,5,5350000
2014,85000,Diesel,Individual,Manual,Second,1461 cc,84 bhp @ 3750 rpm,5,450000
2016,26000,Petrol,Individual,Manual,First,999 cc,67 bhp @ 5500 rpm,5,299000
2020,18000,Petrol,Individual,Automatic,First,1353 cc,138 bhp @ 6000 rpm,5,1875000
2022,11000,Diesel,Individual,Automatic,First,2184 cc,130 bhp @ 3750 rpm,4,1825000
2018,57300,Diesel,Individual,Automatic,First,2179 cc,148 bhp @ 4000 rpm,7,4459000
2010,74000,Diesel,Individual,Automatic,Second,2497 cc,177@4000,5,1195000
2019,25000,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,790000
2017,39000,Petrol,Individual,Automatic,Second,1591 cc,122 bhp @ 6400 rpm,5,1095000
2020,45000,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,7,1950000
2015,80852,Petrol,Individual,Automatic,Second,1198 cc,103 bhp @ 5000 rpm,5,525000
2018,75592,Diesel,Individual,Automatic,First,2999 cc,174 bhp @ 3600 rpm,7,2100000
2014,54420,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,270000
2015,39780,Petrol,Individual,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,894999
2013,78301,Petrol,Individual,Automatic,Second,1197 cc,79 bhp @ 6000 rpm,5,335000
2018,38000,Diesel,Individual,Manual,First,2179 cc,148 bhp @ 4000 rpm,7,1000000
2009,126535,Petrol,Individual,Manual,First,1197 cc,80@5200,5,220000
2016,37079,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,960000
2018,87200,Diesel,Individual,Automatic,First,2987 cc,255 bhp @ 3400 rpm,7,7200000
2014,51000,Diesel,Individual,Automatic,Second,1968 cc,174 bhp @ 4200 rpm,5,1300000
2013,39000,Petrol,Individual,Manual,First,1198 cc,74 bhp @ 5400 rpm,5,375000
2011,90000,Petrol,Individual,Manual,Second,,,,300000
2017,29999,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,5,3299000
2014,100472,Diesel,Individual,Manual,First,1948 cc,90@4300,7,565000
2016,84700,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1798999
2008,19759,Petrol,Individual,Manual,First,796 cc,47@6200,5,189000
2014,66000,Diesel,Individual,Automatic,First,,,,1875000
